Interaction index,Player index,Opponent index,Repetition,Player name,Opponent name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
85,8,7,0,Karim - Ressurection: 0.5,Karim - Simple: 0.5,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
86,7,9,0,Karim - Simple: 0.5,David - Kobayashi Maru: 0.5,CDDDCDDDCD,-30,-5,10,-3.0,-0.5,0,True,3,0,3,2,5,0,0,0,3,2,0,0,4,1
86,9,7,0,David - Kobayashi Maru: 0.5,Karim - Simple: 0.5,DDDCDDDCDD,-25,5,10,-2.5,0.5,1,False,2,0,2,3,5,0,0,0,2,0,3,2,2,0
87,7,10,0,Karim - Simple: 0.5,Stephan: 0.5,CDDDDDDDDD,-32,-5,10,-3.2,-0.5,0,True,1,0,1,0,9,0,0,0,1,0,0,0,8,1
87,10,7,0,Stephan: 0.5,Karim - Simple: 0.5,DDDDDDDDDD,-27,5,10,-2.7,0.5,1,False,0,0,0,1,9,0,0,0,0,0,1,0,8,0
88,7,11,0,Karim - Simple: 0.5,Dan - Strategy: 0.5,CDDDDDDDDD,-32,-5,10,-3.2,-0.5,0,True,1,0,1,0,9,0,0,0,1,0,0,0,8,1
88,11,7,0,Dan - Strategy: 0.5,Karim - Simple: 0.5,DDDDDDDDDD,-27,5,10,-2.7,0.5,1,False,0,0,0,1,9,0,0,0,0,0,1,0,8,0
89,7,12,0,Karim - Simple: 0.5,Cardassian General: 0.5,CCCCCCCCCC,-14,-5,10,-1.4,-0.5,0,True,10,9,1,0,0,9,0,0,0,0,0,0,0,1
89,12,7,0,Cardassian General: 0.5,Karim - Simple: 0.5,CCCCCCCCCD,-9,5,10,-0.9,0.5,1,True,9,9,0,1,0,8,1,0,0,0,0,0,0,0
90,7,13,0,Karim - Simple: 0.5,Cardassian General: 0.5,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
90,13,7,0,Cardassian General: 0.5,Karim - Simple: 0.5,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
91,7,14,0,Karim - Simple: 0.5,Alessandro - Random: 0.5,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
91,14,7,0,Alessandro - Random: 0.5,Karim - Simple: 0.5,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
92,8,8,0,Karim - Ressurection: 0.5,Karim - Ressurection: 0.5,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
92,8,8,0,Karim - Ressurection: 0.5,Karim - Ressurection: 0.5,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
93,8,9,0,Karim - Ressurection: 0.5,David - Kobayashi Maru: 0.5,CDDDCDDDCD,-30,-5,10,-3.0,-0.5,0,True,3,0,3,2,5,0,0,0,3,2,0,0,4,1
93,9,8,0,David - Kobayashi Maru: 0.5,Karim - Ressurection: 0.5,DDDCDDDCDD,-25,5,10,-2.5,0.5,1,False,2,0,2,3,5,0,0,0,2,0,3,2,2,0
94,8,10,0,Karim - Ressurection: 0.5,Stephan: 0.5,CDDDDDDDDD,-32,-5,10,-3.2,-0.5,0,True,1,0,1,0,9,0,0,0,1,0,0,0,8,1
